1980,28499
1981,22836
1982,22718
1983,23740
1984,18390
1985,25335
1986,25299
1987,33199
1988,31733
1989,28621
1990,29012
1991,25086
1992,22683
1993,22636
1994,24601
1995,34459
1996,47518
1997,48533
1998,59271
1999,58587
2000,57614
2001,58587
2002,57614
2003,57654
2004,57943
2005,58150
2006,57928
2007,56640
2008,57366
2009,45582
2010,49090
2011,50904
2012,46917
2013,47079
2014,44585
